Commodity,Arrival Date,Variety,State,District,Market,Min Price,Max Price,Avg price,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Jammu and Kashmir,Udhampur,Udhampur,4000,6000,5000,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Farukhabad,Kayamganj,6850,6950,6900,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Bahraich,Bahraich,8100,8400,8250,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,West Bengal,Burdwan,Asansol,7000,7400,7200,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Haryana,Sonipat,Ganaur,5000,7000,6000,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Odisha,Sonepur,Birmaharajpur,10000,13000,12000,,,,,,,,,,,,,,
Tomato,18/07/2023,Local,Maharashtra,Pune,Pune(Moshi),6000,8000,7000,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Karnataka,Kolar,Chintamani,2660,10000,6000,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Odisha,Bhadrak,Bhadrak,9000,11000,10000,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Kaushambi,Bharwari,7150,7360,7250,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Maharashtra,Ahmednagar,Rahuri,1500,4500,3000,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Rajasthan,Barmer,Balotra,7900,9000,8500,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,West Bengal,Darjeeling,Karsiyang(Matigara),13000,14000,13500,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Muradabad,Chandausi,7800,8200,8000,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Hardoi,Madhoganj,7500,7550,7520,,,,,,,,,,,,,,
Tomato,18/07/2023,Local,Maharashtra,Pune,Pune,3000,9000,6000,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Telangana,Hyderabad,Mahboob Manison,8000,10800,9600,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Lalitpur,Lalitpur,6780,6850,6820,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Gautam Budh Nagar,Dadri,6800,7200,7000,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Punjab,Ludhiana,Sahnewal,10000,10000,10000,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Karnataka,Shimoga,Shimoga,6000,8000,7000,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Etawah,Bharthna,6950,7150,7050,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Ghaziabad,Hapur,6800,6900,6850,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Bulandshahar,Sikarpur,7200,7600,7400,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Rajasthan,Kota,Kota (FV),3000,11000,7000,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Himachal Pradesh,Hamirpur,Hamirpur,5000,13000,9000,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Odisha,Sundergarh,Sargipali,8500,9000,8800,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Ghazipur,Gazipur,7215,7248,7228,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Haryana,Panchkula,"New Grain Market , Panchkula",8500,9500,9000,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Himachal Pradesh,Kullu,Bandrol,5000,7500,6500,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Faizabad,Faizabad,7500,7800,7650,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Mau(Maunathbhanjan),Doharighat,5950,6000,5980,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Jhansi,Moth,7950,8070,8000,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Maharashtra,Satara,Karad,6000,7500,7500,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Haryana,Yamuna Nagar,Radaur,5000,7000,6000,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Himachal Pradesh,Kullu,Kullu,8000,9000,8500,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Haryana,Yamuna Nagar,Sadhaura,4000,4500,4200,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Haryana,Sonipat,Gohana,4500,6000,4500,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Unnao,Bangarmau,7250,7400,7325,,,,,,,,,,,,,,
Tomato,18/07/2023,Local,Uttar Pradesh,Khiri (Lakhimpur),Mohammdi,7500,7630,7550,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Jaunpur,Mugrabaadshahpur,7170,7370,7270,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Fatehpur,Fatehpur,7200,7500,7385,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Haryana,Fatehabad,Bhuna,7000,7000,7000,,,,,,,,,,,,,,
Tomato,18/07/2023,Local,Odisha,Rayagada,Rayagada,10000,10030,10020,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Karnataka,Chamrajnagar,Gundlupet,8000,8100,8000,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Uttar Pradesh,Lucknow,Lucknow,7600,7800,7700,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Uttrakhand,Dehradoon,Vikasnagar,2000,3500,3500,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Karnataka,Dharwad,Dharwar,6800,8000,7300,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Odisha,Bargarh,Padampur,10000,11000,10500,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Himachal Pradesh,Hamirpur,Hamirpur(Nadaun),5000,13000,9000,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Haryana,Kurukshetra,Pehowa,5000,5500,5500,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Gorakhpur,Sehjanwa,6690,6710,6700,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Haryana,Karnal,Tarori,4000,4500,4500,,,,,,,,,,,,,,
Tomato,18/07/2023,Deshi,Himachal Pradesh,Shimla,Shimla,6000,8000,6500,,,,,,,,,,,,,,
Tomato,18/07/2023,Other,Punjab,Fazilka,Jalalabad,4400,5000,4600,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Saharanpur,Chutmalpur,3200,3400,3300,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Hardoi,Hardoi,7550,7650,7600,,,,,,,,,,,,,,
Tomato,18/07/2023,Tomato,Haryana,Kurukshetra,Shahabad,2500,5000,4000,,,,,,,,,,,,,,
Tomato,18/07/2023,Hybrid,Uttar Pradesh,Sant Kabir Nagar,Khalilabad,5700,6100,6000,,,,,,,,,,,,,,
